,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
15,2020-03-28,92472,10023,12384,Italy,5974.0,0.0690651806978196,889.0,0.09732866214144953,5556.285714285715,742.5714285714286
16,2020-03-29,97689,10779,13030,Italy,5217.0,0.056417077601868676,756.0,0.07542651900628554,5507.285714285715,757.5714285714286
17,2020-03-30,101739,11591,14620,Italy,4050.0,0.04145809661271996,812.0,0.07533166341961221,5401.714285714285,787.7142857142857
18,2020-03-31,105792,12428,15729,Italy,4053.0,0.039837230560552,837.0,0.07221119834354241,5230.857142857143,801.1428571428571
19,2020-04-01,110574,13155,16847,Italy,4782.0,0.045201905626134305,727.0,0.058496942388155775,5169.714285714285,807.4285714285714
22,2020-04-02,115242,13915,18278,Italy,4668.0,0.042216072494438116,760.0,0.05777270999619916,4950.428571428572,814.2857142857143
23,2020-04-03,119827,14681,19758,Italy,4585.0,0.039785841967338295,766.0,0.05504850880344952,4761.285714285715,792.4285714285714
24,2020-04-04,124632,15362,20996,Italy,4805.0,0.040099476745641634,681.0,0.046386485934200666,4594.285714285715,762.7142857142857
25,2020-04-05,128948,15887,21815,Italy,4316.0,0.0346299505744913,525.0,0.03417523759927093,4465.571428571428,729.7142857142857
26,2020-04-06,132547,16523,22837,Italy,3599.0,0.027910475540527963,636.0,0.040032731163844655,4401.142857142857,704.5714285714286
27,2020-04-07,135586,17127,24392,Italy,3039.0,0.022927716206326814,604.0,0.03655510500514435,4256.285714285715,671.2857142857143
28,2020-04-08,139422,17669,26491,Italy,3836.0,0.028292006549348752,542.0,0.031645939160390026,4121.142857142857,644.8571428571429
29,2020-04-09,143626,18279,28470,Italy,4204.0,0.030153060492605185,610.0,0.034523742147263566,4054.8571428571427,623.4285714285714
20,2020-04-10,147577,18849,30455,Italy,3951.0,0.02750894684806372,570.0,0.03118332512719514,3964.285714285714,595.4285714285714
0,2020-03-13,5232,133,193,Spain,,,,,,
1,2020-03-14,6391,195,517,Spain,1159.0,0.22152140672782875,62.0,0.46616541353383456,,
2,2020-03-15,7798,289,517,Spain,1407.0,0.22015334063526834,94.0,0.48205128205128206,,
3,2020-03-16,9942,342,530,Spain,2144.0,0.2749422928956143,53.0,0.18339100346020762,,
4,2020-03-17,11748,533,1028,Spain,1806.0,0.1816535908267954,191.0,0.5584795321637427,,
5,2020-03-18,13910,623,1081,Spain,2162.0,0.18403132448076268,90.0,0.16885553470919323,,
6,2020-03-19,17963,830,1107,Spain,4053.0,0.29137311286844,207.0,0.33226324237560195,,
7,2020-03-20,20410,1043,1588,Spain,2447.0,0.1362244613928631,213.0,0.25662650602409637,2168.285714285714,130.0
8,2020-03-21,25374,1375,2125,Spain,4964.0,0.2432141107300343,332.0,0.31831255992329816,2711.8571428571427,168.57142857142858
9,2020-03-22,28768,1772,2575,Spain,3394.0,0.13375896587057617,397.0,0.2887272727272727,2995.714285714286,211.85714285714286
10,2020-03-23,35136,2311,2575,Spain,6368.0,0.22135706340378197,539.0,0.304176072234763,3599.1428571428573,281.2857142857143
11,2020-03-24,39885,2808,3794,Spain,4749.0,0.13516051912568305,497.0,0.215058416270013,4019.5714285714284,325.0
12,2020-03-25,49515,3647,5367,Spain,9630.0,0.24144415193681834,839.0,0.2987891737891738,5086.428571428572,432.0
13,2020-03-26,57786,4365,7015,Spain,8271.0,0.16704029082096333,718.0,0.19687414313134083,5689.0,505.0
14,2020-03-27,65719,5138,9357,Spain,7933.0,0.137282386737272,773.0,0.1770904925544101,6472.714285714285,585.0
15,2020-03-28,73235,5982,12285,Spain,7516.0,0.11436570854699554,844.0,0.16426625145971194,6837.285714285715,658.1428571428571
16,2020-03-29,80110,6803,14709,Spain,6875.0,0.09387587901959446,821.0,0.1372450685389502,7334.571428571428,718.7142857142857
17,2020-03-30,87956,7716,16780,Spain,7846.0,0.09794033204344027,913.0,0.13420549757459943,7545.714285714285,772.1428571428571
18,2020-03-31,95923,8464,19259,Spain,7967.0,0.09057938059939061,748.0,0.09694142042509073,8005.428571428572,808.0
19,2020-04-01,104118,9387,22647,Spain,8195.0,0.08543310780521877,923.0,0.10905009451795841,7800.428571428572,820.0
22,2020-04-02,112065,10348,26743,Spain,7947.0,0.07632685990894945,961.0,0.10237562586555875,7754.142857142857,854.7142857142857
23,2020-04-03,119199,11198,30513,Spain,7134.0,0.06365948333556418,850.0,0.08214147661383843,7640.0,865.7142857142857
24,2020-04-04,126168,11947,34219,Spain,6969.0,0.0584652555810032,749.0,0.0668869440971602,7561.857142857143,852.1428571428571
25,2020-04-05,131646,12641,38080,Spain,5478.0,0.043418299410310064,694.0,0.058089897045283334,7362.285714285715,834.0
26,2020-04-06,136675,13341,40437,Spain,5029.0,0.038200932804642755,700.0,0.05537536587295309,6959.857142857143,803.5714285714286
27,2020-04-07,141942,14045,43208,Spain,5267.0,0.03853667459301262,704.0,0.052769657446967995,6574.142857142857,797.2857142857143
28,2020-04-08,148220,14792,48021,Spain,6278.0,0.04422933310788914,747.0,0.053186187255250976,6300.285714285715,772.1428571428571
29,2020-04-09,153222,15447,52165,Spain,5002.0,0.033747132640669274,655.0,0.04428069226608978,5879.571428571428,728.4285714285714
20,2020-04-10,158273,16081,55668,Spain,5051.0,0.03296523997859315,634.0,0.041043568330420145,5582.0,697.5714285714286
0,2020-03-13,1139,11,4,Switzerland,,,,,,
1,2020-03-14,1359,13,4,Switzerland,220.0,0.19315188762071994,2.0,0.18181818181818182,,
2,2020-03-15,2200,14,4,Switzerland,841.0,0.6188373804267844,1.0,0.07692307692307693,,
3,2020-03-16,2200,14,4,Switzerland,0.0,0.0,0.0,0.0,,
4,2020-03-17,2700,27,4,Switzerland,500.0,0.22727272727272727,13.0,0.9285714285714286,,
5,2020-03-18,3028,28,15,Switzerland,328.0,0.12148148148148148,1.0,0.037037037037037035,,
6,2020-03-19,4075,41,15,Switzerland,1047.0,0.345772787318362,13.0,0.4642857142857143,,
7,2020-03-20,5294,54,15,Switzerland,1219.0,0.29914110429447854,13.0,0.3170731707317073,593.5714285714286,6.142857142857143
8,2020-03-21,6575,75,15,Switzerland,1281.0,0.24197204382319606,21.0,0.3888888888888889,745.1428571428571,8.857142857142858
9,2020-03-22,7474,98,131,Switzerland,899.0,0.1367300380228137,23.0,0.30666666666666664,753.4285714285714,12.0
10,2020-03-23,8795,120,131,Switzerland,1321.0,0.17674605298367674,22.0,0.22448979591836735,942.1428571428571,15.142857142857142
11,2020-03-24,9877,122,131,Switzerland,1082.0,0.12302444570778852,2.0,0.016666666666666666,1025.2857142857142,13.571428571428571
12,2020-03-25,10897,153,131,Switzerland,1020.0,0.10327022375215146,31.0,0.2540983606557377,1124.142857142857,17.857142857142858
13,2020-03-26,11811,191,131,Switzerland,914.0,0.08387629622831973,38.0,0.24836601307189543,1105.142857142857,21.428571428571427
14,2020-03-27,12928,231,1530,Switzerland,1117.0,0.09457285581237829,40.0,0.2094240837696335,1090.5714285714287,25.285714285714285
15,2020-03-28,14076,264,1530,Switzerland,1148.0,0.08879950495049505,33.0,0.14285714285714285,1071.5714285714287,27.0
16,2020-03-29,14829,300,1595,Switzerland,753.0,0.05349531116794544,36.0,0.13636363636363635,1050.7142857142858,28.857142857142858
17,2020-03-30,15922,359,1823,Switzerland,1093.0,0.07370692561872008,59.0,0.19666666666666666,1018.1428571428571,34.142857142857146
18,2020-03-31,16605,433,1823,Switzerland,683.0,0.04289662102750911,74.0,0.20612813370473537,961.1428571428571,44.42857142857143
19,2020-04-01,17768,488,2967,Switzerland,1163.0,0.0700391448358928,55.0,0.12702078521939955,981.5714285714286,47.857142857142854
22,2020-04-02,18827,536,4013,Switzerland,1059.0,0.05960153084196308,48.0,0.09836065573770492,1002.2857142857143,49.285714285714285
23,2020-04-03,19606,591,4846,Switzerland,779.0,0.0413767461624263,55.0,0.10261194029850747,954.0,51.42857142857143
